season,model,sigma,mae,rmse,corr
2015,flat_500,0.047804169391561506,8.50144927536232,10.26812152555633,
2015,last_wpct,0.047804169391561506,10.267908902691513,11.819096769299298,0.2828008548353201
2015,regressed,0.047804169391561506,8.634575569358182,10.014789932203298,0.28280085483531997
2015,model_prior,0.047804169391561506,8.66820553568641,10.208849679815403,0.21212486681171172
2015,model_actual,0.047804169391561506,7.968745115789767,9.252515879364243,0.43927595890055243
2015,model_blend,0.047804169391561506,8.845481240203835,10.546776197650445,0.1368808446721668
2016,flat_500,0.04920790009836208,9.040165631469982,10.50336931397348,
2016,last_wpct,0.04920790009836208,8.235610766045552,9.974993875177049,0.5389670442222432
2016,regressed,0.04920790009836208,7.073498964803316,8.862959717942498,0.538967044222243
2016,model_prior,0.04920790009836208,6.954033095160966,8.639265354630801,0.5799829155262927
2016,model_actual,0.04920790009836208,5.223314541429689,6.967690446636832,0.7785807447370583
2016,model_blend,0.04920790009836208,6.859460908063444,8.663608680465956,0.5967519329998555
2017,flat_500,0.04730835835784877,9.466666666666669,11.337254223723368,
2017,last_wpct,0.04730835835784877,10.100621118012423,12.523033059440175,0.34442629478427705
2017,regressed,0.04730835835784877,8.864389233954453,10.728450653945915,0.3444262947842772
2017,model_prior,0.04730835835784877,7.713552324575043,9.54678585348278,0.5395533274051534
2017,model_actual,0.04730835835784877,6.755445619151981,8.24814665608426,0.6981495925355617
2017,model_blend,0.04730835835784877,7.907743694405496,9.874956849613437,0.49166821761461305
2018,flat_500,0.045691812568480705,11.894117796491765,14.38991596606023,
2018,last_wpct,0.045691812568480705,9.665078941686035,11.776681641365043,0.6035009460676293
2018,regressed,0.045691812568480705,9.598412275019369,11.863668179059815,0.6035009460676288
2018,model_prior,0.045691812568480705,9.222257327359529,11.388811976847819,0.6481140307782334
2018,model_actual,0.045691812568480705,7.855849701873903,10.011079283552741,0.7493432540423237
2018,model_blend,0.045691812568480705,9.09644331928497,11.296742059607563,0.6745267174317903
2019,flat_500,0.04696397007480175,13.142028985507245,15.602761071515348,
2019,last_wpct,0.04696397007480175,8.79634188164463,10.953501666762861,0.7360881719686538
2019,regressed,0.04696397007480175,9.437057501047896,11.399353294451267,0.7360881719686537
2019,model_prior,0.04696397007480175,9.112440280433555,10.88908212141734,0.798756742606295
2019,model_actual,0.04696397007480175,9.025429067908805,10.750792101076495,0.7775461583358989
2019,model_blend,0.04696397007480175,8.619475019440614,10.31699684021608,0.82255565503228
2020,flat_500,0.04912976590288534,12.441724137931036,14.80981970888742,
2020,last_wpct,0.04912976590288534,12.420304847576213,15.072899646071278,0.5097596986215105
2020,regressed,0.04912976590288534,10.282623688155924,12.743625603078755,0.5097596986215104
2020,model_prior,0.04912976590288534,10.67163091021571,13.118035126713256,0.46690262460523085
2020,model_actual,0.04912976590288534,9.982805730383996,11.815596541239195,0.6112843162517375
2020,model_blend,0.04912976590288534,10.844885269079391,13.35861910964098,0.4925757174561042
2021,flat_500,0.049103295843017813,11.702898550724642,14.227587523882594,
2021,last_wpct,0.049103295843017813,11.399285357321338,13.767686268377236,0.5510136030408325
2021,regressed,0.049103295843017813,9.497323838080963,11.880825982004106,0.5510136030408325
2021,model_prior,0.049103295843017813,10.258070345892492,12.763598861390168,0.44221269730340484
2021,model_actual,0.049103295843017813,9.424465364230143,11.632039663182764,0.5917263883160401
2021,model_blend,0.049103295843017813,9.791053606133282,12.504125620278044,0.49150038131265417
2022,flat_500,0.055538758278998214,12.133333333333335,14.436065946094873,
2022,last_wpct,0.055538758278998214,10.830434782608696,13.568117480591438,0.5519499546116281
2022,regressed,0.055538758278998214,10.348550724637683,12.068174853561354,0.5519499546116279
2022,model_prior,0.055538758278998214,9.853116978112537,11.977228378187302,0.5863303828932412
2022,model_actual,0.055538758278998214,8.729688282122064,10.150195087435863,0.7511149371537085
2022,model_blend,0.055538758278998214,9.876880561869415,11.784364896623568,0.5781597313598952
2023,flat_500,0.05901842939506874,10.0,12.902196195480313,
2023,last_wpct,0.05901842939506874,11.333333333333336,13.321661558028964,0.5299130973792885
2023,regressed,0.05901842939506874,9.166666666666664,10.948363652467277,0.5299130973792887
2023,model_prior,0.05901842939506874,8.767366213858686,11.027233146090518,0.5192030218669329
2023,model_actual,0.05901842939506874,8.520433428078126,10.37674765489114,0.5991960786969397
2023,model_blend,0.05901842939506874,9.227010363739888,10.881282740898913,0.5653049039329128
2024,flat_500,0.05849374846918948,9.337267080745344,12.288000769046766,
2024,last_wpct,0.05849374846918948,9.300828157349896,12.074387028472477,0.5414041805426966
2024,regressed,0.05849374846918948,7.970600414078677,10.333258239299573,0.5414041805426963
2024,model_prior,0.05849374846918948,7.7333517990805385,10.237612318214811,0.5620683434478436
2024,model_actual,0.05849374846918948,6.436729518590227,8.480144486875318,0.7594776606713372
2024,model_blend,0.05849374846918948,7.807983708470373,9.898910653077326,0.5939108459849748
2025,flat_500,0.05758363816818748,8.666666666666668,11.500724614852174,
2025,last_wpct,0.05758363816818748,7.270600414078675,9.232713362083103,0.6951364898140698
2025,regressed,0.05758363816818748,6.398033126293998,8.497416702828207,0.69513648981407
2025,model_prior,0.05758363816818748,7.49592543558379,9.286043048293763,0.6135669170767835
2025,model_actual,0.05758363816818748,7.219593885582717,9.019210504201048,0.6254436487162778
2025,model_blend,0.05758363816818748,6.26609557419567,8.250982437606595,0.720488096664102
