market,model,n_train,n,mdape,mae_eok,log_rmse,cover80,cover50,years_within1
2023,grade_median,30,20,0.5162698412698412,24.842499999999998,1.3311589726477189,,,
2023,salary_mult,30,20,0.5118599216080824,19.45800730994152,0.936956931090542,,,
2023,regression,30,20,0.4923812903004069,23.632847961694715,1.2377095404042133,0.75,0.35,0.5
2024,grade_median,50,19,0.5772727272727273,19.81578947368421,0.8939735162917615,,,
2024,salary_mult,50,19,0.5603448275862069,22.5067405355494,0.9783898057555135,,,
2024,regression,50,19,0.4633682300031079,20.16091895645795,0.8621850276383676,0.7368421052631579,0.5263157894736842,0.8421052631578947
2025,grade_median,69,19,0.4642857142857143,18.657894736842106,1.1873361798615907,,,
2025,salary_mult,69,19,0.4548,17.383144474458458,0.8162914635696472,,,
2025,regression,69,19,0.4272136434408642,15.458565912640132,0.8716084567298585,0.8421052631578947,0.5263157894736842,0.8421052631578947
2026,grade_median,88,20,0.8522222222222222,24.35,1.2431281576398439,,,
2026,salary_mult,88,20,0.3664657407407408,17.109989961013646,1.1308279997051294,,,
2026,regression,88,20,0.5278860925098017,17.699537912188635,0.9957039105125151,0.8,0.55,0.85
