season,model,n,rmse_w,mae,bias,corr
2015,league_avg,148,0.7271553626311693,0.5989912156583764,-0.14238172813343786,
2015,last_year,148,0.8387951472212786,0.6488905432830231,-0.1819342459518607,0.419693363637649
2015,marcel,148,0.5726941312678392,0.47165151242833336,-0.1461439424922334,0.5922583728027173
2016,league_avg,154,0.7511506334428953,0.6215904068245736,-0.15824270066874033,-3.5496333594813635e-16
2016,last_year,154,0.8121454854657337,0.6963411727502034,-0.27179507513298995,0.4278834141199696
2016,marcel,154,0.7146357866543827,0.6107421346396599,-0.3519807389140535,0.516430734577002
2017,league_avg,153,0.8178608113656685,0.6581794403016521,-0.09357919545496445,1.135803761360314e-15
2017,last_year,153,0.9830542085959744,0.7514399181946898,-0.13233379218917599,0.35185279463214975
2017,marcel,153,0.7928659612631378,0.6482645946875208,-0.33383489427247426,0.4510854278398289
2018,league_avg,159,0.8387403513575022,0.6406906880429831,0.3086752925564184,
2018,last_year,159,1.076997634393611,0.8015670181251027,0.3170894722728463,0.3470918720912746
2018,marcel,159,0.718812083404511,0.5968997007989225,0.1128272777362445,0.45126751265596615
2019,league_avg,151,0.8495246936511144,0.7239563224499428,-0.15093179359742695,4.415586380726376e-16
2019,last_year,151,0.8719129988900183,0.7248285025348344,-0.28332062339153286,0.4485180206145893
2019,marcel,151,0.7581950745369413,0.6158627063513403,-0.22747378677664534,0.4914720083481094
2020,league_avg,3,0.9133849527755674,0.8332814611869074,0.8282087225938928,
2020,last_year,3,0.7669094792176391,0.6356754338546637,-0.0830682368533865,-0.9778392225301292
2020,marcel,3,0.43997343472086886,0.4236022683073551,0.13694509904620514,-0.999306804408756
2021,league_avg,152,0.914593170977744,0.7156056408129488,0.37528236561275363,
2021,last_year,152,2.1863661860394425,1.3632217834926488,0.530446996777182,0.20415741162294426
2021,marcel,152,0.7885441926262008,0.6133976227375445,0.14845160489448414,0.4220106450686011
2022,league_avg,151,0.8675966614492675,0.6686491352383248,0.4151348277987086,-6.918187108873821e-16
2022,last_year,151,1.3528730621443839,0.8929165185990837,0.34290294388478365,0.17013592961356072
2022,marcel,151,0.7891322465904612,0.635823188827883,0.2863861586888275,0.37093724167807723
2023,league_avg,150,0.8623705012009826,0.7014379894282197,-0.3075730766297225,-7.506336689918964e-16
2023,last_year,150,1.0378378298592341,0.8754080648982839,-0.5108038967935485,0.299903689293935
2023,marcel,150,0.84140360477048,0.6915030352457472,-0.3914437013692143,0.37352175654560826
2024,league_avg,142,0.7799784267331389,0.623270895253571,0.33468890753009156,
2024,last_year,142,0.9489328344937455,0.7563881936506628,0.31314271954231865,0.3680104001923483
2024,marcel,142,0.6622874551262723,0.5465751238591181,0.1677917963558717,0.4495161923681381
2025,league_avg,145,0.7525300172433977,0.6061269160654148,0.012884880856421423,-1.5077716794746214e-16
2025,last_year,145,0.9658842985628006,0.7194474632702579,-0.009655062069825558,0.3929479595409638
2025,marcel,145,0.6563807158530737,0.5517115870408926,-0.07251313715322318,0.4795656234401847
